UDP:[::]:51592->[::]:0 		 Code.exe
UDP:192.168.43.35:1863->222.182.7.76:13473 		 QQMusic.exe
UDP:[::]:53099->[::]:0 		 qmbrowser.exe
TCP:192.168.43.35:55261->59.36.124.30:443 		 System
TCP:192.168.43.35:55264->59.36.124.102:80 		 System
TCP:[::]:55270->[::]:0 		 QQMusic.exe
TCP:[::]:55304->[::]:0 		 TIM.exe
TCP:192.168.43.35:55268->61.128.151.86:80 		 System
TCP:[::]:55281->[::]:0 		 QQMusic.exe
TCP:[::]:55289->[::]:0 		 QQMusic.exe
TCP:127.0.0.1:55293->127.0.0.1:521 		 TIM.exe
UDP:[::]:61563->[::]:0 		 chrome.exe
UDP:192.168.43.35:52036->192.168.43.1:53 		 System
TCP:[::]:55288->[::]:0 		 QQMusic.exe
TCP:127.0.0.1:521->127.0.0.1:55293 		 xray.exe
TCP:[::]:55296->[::]:0 		 xray.exe
UDP:192.168.43.35:65389->192.168.43.1:53 		 System
UDP:[::]:51226->[::]:0 		 svchost.exe
UDP:[::]:64885->[::]:0 		 Code.exe
UDP:192.168.43.35:1863->202.101.102.197:49666 		 QQMusic.exe
UDP:192.168.43.35:1863->110.181.220.236:13678 		 QQMusic.exe
UDP:192.168.43.35:1863->183.60.15.98:30013 		 QQMusic.exe
UDP:192.168.43.35:55851->192.168.43.1:53 		 System
UDP:[::]:63131->[::]:0 		 svchost.exe
TCP:192.168.43.35:55271->59.36.124.30:443 		 System
TCP:[::]:55291->[::]:0 		 QQMusic.exe
